corridor,tmc_code,selection_position,period,road_order,gmns_link_count,gmns_link_ids,taplite_period_volume,taplite_period_doc,taplite_period_p_hours,cube_period_volume,cube_period_doc,cube_period_p_hours,model_speed_min_mph,model_speed_max_mph,model_speed_unique_value_count,cube_speed_min_mph,cube_speed_max_mph,cube_speed_unique_value_count
I95I495_EB,110+15984,all_2_of_4,MD,2.000000,4.000000,32767;32774;28324;28321,8974.121854,0.393565,0.000000,10678.822138,0.468369,3.175306,14.776000,60.689000,24,14.919021,60.767910,24
I95I495_EB,110+15984,all_2_of_4,PM,2.000000,4.000000,32767;32774;28324;28321,4303.439580,1.132505,5.481037,11139.247239,2.931381,15.254940,14.746387,22.879760,16,9.456871,22.814291,16
I95I495_EB,110P15984,all_3_of_4,AM,3.000000,1.000000,28318,5831.183200,0.511500,0.000000,7635.795410,0.669807,2.300070,58.657333,66.559667,12,21.067040,66.478658,12
I95I495_EB,110P15984,all_3_of_4,MD,3.000000,1.000000,28318,12138.452200,0.532400,0.000000,12805.829100,0.561659,3.931413,16.496333,58.584667,24,16.634105,58.692714,24
I95I495_EB,110P15984,all_3_of_4,PM,3.000000,1.000000,28318,10282.585300,2.705900,13.160530,14495.451170,3.814592,18.675012,12.890333,23.299000,16,11.886267,23.152738,16
I95I495_EB,110+15985,all_4_of_4,AM,4.000000,1.000000,28316,5831.183200,0.511500,0.000000,7635.795410,0.669807,2.233365,58.656333,65.137000,12,27.080676,65.079086,12
I95I495_EB,110+15985,all_4_of_4,MD,4.000000,1.000000,28316,12138.452200,0.532400,0.000000,12805.829100,0.561659,3.803378,24.778000,58.598000,24,24.754655,58.705852,24
I95I495_EB,110+15985,all_4_of_4,PM,4.000000,1.000000,28316,10282.585300,2.705900,14.376931,14495.451170,3.814592,20.932128,8.977333,31.578333,16,6.912434,30.358638,16
I95I495_WB,110-15984,all_1_of_3,AM,6.000000,1.000000,27521,12469.304100,0.729200,0.000000,16105.131840,0.941821,3.191085,59.842333,60.897000,12,23.400527,60.630354,12
I95I495_WB,110-15984,all_1_of_3,MD,6.000000,1.000000,27521,18493.762100,0.540800,0.000000,24399.769530,0.713444,4.882075,60.901333,61.159000,24,21.903898,61.149598,24
I95I495_WB,110-15984,all_1_of_3,PM,6.000000,1.000000,27521,15214.789400,0.667300,0.000000,19981.650390,0.876388,4.188136,59.934000,61.156333,16,19.111346,61.046675,16
I95I495_WB,110N15984,all_2_of_3,AM,7.000000,1.000000,28236,10003.186600,0.585000,0.000000,13076.218750,0.764691,2.625897,63.289333,63.337000,12,20.588285,63.136856,12
I95I495_WB,110N15984,all_2_of_3,MD,7.000000,1.000000,28236,15607.640000,0.456400,0.000000,18806.101560,0.549886,3.843879,62.398667,63.336000,24,20.581366,63.333932,24
